"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"E2F5",1.4986446467912,7.87617867055672,6.20587410480524,1.55946313274879e-05,0.000238766144737017,3.12661206188205
"CHEK1",1.31862093305545,6.22549534506847,6.20313872862639,1.56715992821824e-05,0.000239408146049625,3.12164939391693
"MCM4",1.06065966624516,6.71186684815274,6.19716599379777,1.58410395225047e-05,0.000240243011631159,3.11080968641985
"TMEM185B",1.07747855166248,6.6992676844838,6.17628659312967,1.64485264665874e-05,0.000247463613837571,3.07287709793422
"BZW2",1.08556246721202,8.53314509137784,6.15921556573241,1.69632345030959e-05,0.000253018490798983,3.04181800001957
"TEX30",1.02933576458469,6.21532520691807,6.15528616031043,1.70840690847425e-05,0.0002539822614682,3.03466305156612
"MMP1",2.45912974233774,6.68748970448014,6.12243987229894,1.81299067956779e-05,0.000263423501237229,2.97476975074209
"YAE1D1",1.06409691047188,7.66309076526835,6.12178279123669,1.81514964617009e-05,0.000263423501237229,2.97357006520081
"NUF2",1.21350932244077,5.66658579077374,6.08264790749404,1.94868933554954e-05,0.000277198706024051,2.90200990349351
"BRCA2",1.02589436783897,4.09438249755579,6.05334098228719,2.05537073020418e-05,0.000286777504252784,2.84828122867982
"RAD54B",1.43342700763021,6.41890908185846,6.03074160934181,2.14177978062727e-05,0.000294471269692667,2.80676824208266
"DLGAP5",1.29773341436192,6.0015763057367,6.01328701297504,2.21110211525279e-05,0.000301712384973683,2.77465737050757
"PROCR",1.40751709205069,6.84466712523754,6.01147044891246,2.21844974476137e-05,0.000302145476444867,2.77131305515862
"SNORA33",1.09179524979079,6.09076776206243,6.00963227795475,2.22591064779583e-05,0.000302505432625413,2.76792849740977
"N6AMT2",1.06618808531971,6.38744981957302,5.97891628086805,2.35452310862862e-05,0.000315208225118185,2.71130327937313
"MSX2",1.73838422071301,5.40006333858127,5.97539382536151,2.36975878015446e-05,0.00031679756127033,2.70480129335361
"LINC01605",1.58941119136997,5.04887849808241,5.97115474652717,2.38823020333909e-05,0.000318588556020503,2.6969742523142
"CDC6",1.27620265490087,7.02426129804594,5.95276187810346,2.47012796304528e-05,0.000327888162874707,2.66298502597416
